zip_code,city,zillow_county,pop_total,qol_score,qol_rank,score_economic_security,score_housing_affordability,score_education,score_health_environment,score_flood_climate_risk,score_mobility
07720,Bradley Beach,Monmouth County,4147,72.48605727120578,169,72.95389461984604,67.8756687979609,73.16651291512915,75.76519993449152,99.62387649109493,45.93853744149735
07605,Leonia,Bergen County,9333,72.36278079336348,170,70.32003213545728,73.49966389321187,66.10931734317343,85.75679885739665,64.51901565995526,43.505650120697894
08873,Somerset,Somerset County,55862,72.17488556823751,171,70.800197827034,78.69682301827235,58.95987084870848,76.02683484641196,83.54667287701395,34.893166172310956
07849,Lake Hopatcong,Morris County,8475,71.95284853120035,172,79.00494347428094,70.41761421749736,46.851937269372684,80.41623173646316,97.6985307455106,31.499584073169387
07430,Mahwah Township,Bergen County,25375,71.9487197329047,173,73.12856511703447,75.84302041991297,65.01383763837637,87.04294785340086,32.673891905992825,44.39571880385826
08007,Barrington,Camden County,5460,71.93313313244924,174,71.81083754700563,83.13182118176579,38.68773062730627,75.28825867655053,99.99999999999999,27.09478049800645
07738,Lincroft,Monmouth County,6901,71.91376709065646,175,74.87856496478855,66.9104484360145,68.09271217712175,83.94230496773746,83.19321794418931,28.132398987103993
08034,Cherry Hill,Camden County,20138,71.89833003934278,176,67.28268861573909,77.48024927620646,57.783671586715855,80.87247396966171,83.62416107382549,46.771670641782606
07470,Wayne,Passaic County,54131,71.80074426536146,177,77.06368561692999,78.17751362916363,61.62361623616235,83.11631343532203,21.71984313948772,41.50047489738962
08080,Sewell,Gloucester County,39360,71.77220541196591,178,74.79976236095396,77.21702777010073,46.72509225092251,74.46374441800609,97.14884947267497,35.93871270160789
08750,Sea Girt,Monmouth County,3624,71.72504147281037,179,77.9046277326855,55.53787361422594,78.00968634686345,88.0023389674511,83.36828859060402,46.85975425213542
07094,Secaucus,Hudson County,21437,71.63796056499535,180,69.44267576651937,82.78096826096181,68.4271217712177,83.47556937241552,8.47379299133788,57.21221447419721
