zip_code,county,gentrification_score,gent_tier,price_change_pct,current_home_value,baseline_home_value,price_to_income_ratio,pct_bachelors_plus,poverty_rate,homeownership_rate,rent_burden_severe_pct,income_median_hh
08406,Atlantic County,68.1,Moderate,282.28016521431374,1138373.4675591723,297785.1249281997,20.221573275764673,27.25,11.93,62.8,30.65,56295.0
08831,Middlesex County,67.3,Moderate,127.32322799939804,913906.3706692392,402029.47086061054,13.504142837479154,38.54,5.13,88.13,33.57,67676.0
07052,Essex County,67.1,Moderate,172.46672195077772,669078.5104904785,245563.3868606348,6.336930884324126,53.96,5.96,69.53,29.05,105584.0
07002,Hudson County,67.1,Moderate,223.85647930253367,572730.1527829716,176846.90268245342,10.100882749562999,33.55,15.73,38.1,24.9,56701.0
07307,Hudson County,67.1,Moderate,154.4006405298764,729202.5356101412,286635.49513528246,11.523246086663315,39.85,15.93,31.52,23.64,63281.0
07003,Essex County,67.0,Moderate,213.82769350392104,581655.260848991,185342.23489162012,8.135721331146543,38.66,8.07,55.97,18.55,71494.0
08751,Ocean County,66.9,Moderate,142.37342641697708,1126696.365864085,464859.6929622667,14.511615845546618,39.31,23.28,60.52,54.52,77641.0
07012,Passaic County,66.8,Moderate,175.2481884213332,638648.6136223987,232026.45484619655,6.749972135733221,45.66,6.48,54.11,25.43,94615.0
08736,Monmouth County,66.8,Moderate,87.5108950989072,1589933.4061829268,847915.2133236192,14.948321827183833,54.93,5.01,81.79,30.35,106362.0
07024,Bergen County,66.8,Moderate,188.90117627609916,576315.7541205044,199485.43012151905,6.515208000729217,60.16,9.38,58.07,23.75,88457.0
07023,Union County,66.6,Moderate,166.42499111430874,767080.292150503,287916.0430642146,4.485246382945586,69.04,2.62,86.52,41.03,171023.0
07073,Bergen County,66.5,Moderate,157.62006764850076,622665.4927049838,241699.1418364793,8.110686231845147,47.47,10.95,37.75,19.66,76771.0
07764,Monmouth County,66.3,Moderate,141.72605292235215,936532.9185699996,387435.65587894456,10.964245039863254,40.08,7.69,81.64,35.21,85417.0
08008,Ocean County,66.2,Moderate,106.39978864417945,1803143.7036177889,873617.0300669725,19.710150559314723,59.35,6.37,91.72,14.03,91483.0
07020,Bergen County,66.1,Moderate,110.60125469195661,694825.6950836073,329924.7652156293,6.816427247862414,74.3,9.46,34.72,19.94,101934.0
07075,Bergen County,66.0,Moderate,160.82760370787764,678282.4223634731,260050.09160117025,5.659900053099742,48.33,3.55,67.08,27.45,119840.0
07738,Monmouth County,65.9,Moderate,103.01012756863545,977534.4711830962,481520.05167949205,7.429823675661411,57.46,3.67,88.26,32.65,131569.0
07030,Hudson County,65.6,Moderate,128.36252869185546,833757.7456377408,365102.6945680676,6.5380970149521325,78.23,10.38,32.61,10.75,127523.0
08742,Ocean County,65.5,Moderate,94.64826189424126,1433887.4231384927,736655.6521925536,15.607957234088678,44.74,5.12,78.51,21.72,91869.0
07029,Hudson County,65.5,Moderate,213.10788464125693,571979.7206510245,182678.15941663997,8.432672170473168,40.17,17.6,24.39,16.84,67829.0
08033,Camden County,65.4,Moderate,88.39227391718609,770028.8331219271,408736.9492978349,7.413961151546544,64.51,2.96,75.24,16.5,103862.0
07027,Union County,65.3,Moderate,147.30247499799452,667469.6012254823,269900.08944750554,7.178559073633132,36.42,3.91,54.3,9.89,92981.0
07716,Monmouth County,65.2,Moderate,94.91326369184982,785220.6845575044,402856.46532444673,8.975591931753284,41.09,3.9,71.99,28.74,87484.0
07087,Hudson County,64.8,Moderate,278.19857783415773,558210.8660183126,147597.2937854598,11.400201491234814,21.61,19.66,20.81,31.38,48965.0
07057,Bergen County,64.8,Moderate,157.33777215593946,654069.903230965,254167.85796786065,9.035487480569769,34.33,8.63,39.97,17.07,72389.0
07704,Monmouth County,64.7,Moderate,95.03404012453203,1430186.388849395,733300.908875292,7.983713052782743,71.18,3.32,93.36,14.88,179138.0
07034,Morris County,64.7,Moderate,165.87719754891603,513245.6640454714,193038.61661587004,5.913036602328038,46.64,3.52,62.48,11.57,86799.0
07071,Bergen County,64.7,Moderate,151.27641536429357,625852.2296081419,249069.22868220592,8.703271166849422,31.31,7.0,55.96,21.14,71910.0
07094,Hudson County,64.6,Moderate,175.13623786319684,639701.0115944104,232503.3650828948,4.945581003141992,60.46,5.31,50.76,18.1,129348.0
07102,Essex County,64.6,Moderate,315.1976186806186,403071.88087011833,97079.52616659208,14.947410845884384,22.61,39.43,10.42,25.96,26966.0
08536,Middlesex County,64.5,Moderate,63.111998702178354,1042400.4432301,639070.3636299558,11.795863338577572,73.12,3.82,46.95,12.7,88370.0
07016,Union County,64.5,Moderate,159.70264963308082,743793.2330133052,286401.86538880854,4.863269058089755,63.49,2.79,78.48,18.26,152941.0
07047,Hudson County,64.5,Moderate,292.15516656532674,573516.9340696433,146247.45074577632,10.014439471086334,25.84,15.8,38.56,24.65,57269.0
07055,Passaic County,64.4,Moderate,296.9420536907828,552913.616293334,139293.2825212954,16.763593860271474,14.24,31.74,23.99,36.45,32983.0
07719,Monmouth County,64.4,Moderate,100.00391257213992,780182.3486492502,390083.5431746088,8.151609029968448,47.63,5.18,71.7,19.77,95709.0
07017,Essex County,64.3,Moderate,506.31654329388533,481378.22873165575,79393.87998825042,12.400902383730633,15.36,19.03,28.77,30.93,38818.0
08053,Burlington County,64.3,Moderate,133.73461475483393,627279.0411802899,268372.3340842125,6.4643950820343985,48.72,4.19,76.25,23.96,97036.0
07050,Essex County,64.2,Moderate,495.2779035672726,463738.76673064264,77902.90282095704,10.644022372627678,20.14,21.71,18.94,29.49,43568.0
07006,Essex County,64.0,Moderate,120.9917251357911,816468.9404361692,369456.7929792302,5.492744057561096,64.93,3.49,73.52,18.05,148645.0
07755,Monmouth County,64.0,Moderate,153.4684620733622,966375.0528645044,381260.47120797355,7.249679689003702,46.74,6.96,79.47,28.4,133299.0
07028,Essex County,64.0,Moderate,176.34122113404322,1080851.0913576449,391129.15797435906,5.522604879352754,70.25,3.79,92.13,20.41,195714.0
07018,Essex County,63.9,Moderate,522.9388398721064,459821.2968151315,73814.83821261425,12.055194840865466,16.89,23.97,22.24,29.37,38143.0
07107,Essex County,63.9,Moderate,393.00686373431495,507597.7857717096,102959.57787014864,16.183057634754498,12.49,28.56,21.41,35.24,31366.0
08732,Ocean County,63.8,Moderate,95.03332548868343,945223.8526300276,484647.354631131,12.068895831535484,52.4,8.77,81.96,34.48,78319.0
08701,Ocean County,63.8,Moderate,148.70401480492617,1045928.4851530289,420551.5081746529,25.52103274901859,26.03,32.14,48.92,42.51,40983.0
07702,Monmouth County,63.7,Moderate,78.77500347237365,916101.9222911624,512432.8930206,7.892599549337581,61.06,1.85,92.18,40.54,116071.0
07103,Essex County,63.6,Moderate,425.61616025423683,395006.9531525884,75151.21927787119,14.284932487797931,14.15,37.24,24.22,34.54,27652.0
07203,Union County,63.5,Moderate,220.45033661209592,501754.8059445708,156578.02430457214,10.277438109513751,20.76,13.52,56.49,35.71,48821.0
07106,Essex County,63.4,Moderate,411.999087460069,463238.6970551631,90476.46927520965,13.365610578930815,13.51,26.77,31.25,35.6,34659.0
07022,Bergen County,63.3,Moderate,206.1842339246883,635903.203427482,207686.46225719585,11.737512291700945,20.79,16.4,33.09,29.28,54177.0
07066,Union County,63.3,Moderate,154.5872151134965,701221.8104746792,275434.80930967815,7.012218104746792,43.06,5.04,80.17,21.16,100000.0
07740,Monmouth County,63.2,Moderate,127.69470008540287,775328.8392114984,340512.4664389162,15.708270983660164,28.76,17.61,41.95,29.72,49358.0
07104,Essex County,63.2,Moderate,269.8342236782634,492138.0517303936,133069.90543918082,14.171625874115058,15.12,29.33,19.42,30.68,34727.0
07011,Passaic County,63.1,Moderate,213.8885304550746,574135.0467943457,182910.48926253105,9.207817535553152,20.48,10.75,43.34,33.02,62353.0
07108,Essex County,63.0,Moderate,184.4061305978575,500470.3795968266,175970.32052184487,15.286672763273973,17.47,34.44,16.62,36.02,32739.0
07112,Essex County,62.6,Moderate,188.36237193697082,484016.10041400214,167849.9511440406,13.53323361985187,16.11,22.5,28.97,35.51,35765.0
07092,Union County,62.6,Moderate,124.48891219670095,1014120.2583681569,451746.2570621607,7.592368540837134,53.54,4.62,91.96,16.13,133571.0
07522,Passaic County,62.6,Moderate,227.38106664877543,475829.1085103049,145344.1133236911,15.398003640874535,11.32,36.73,22.64,36.67,30902.0
08402,Atlantic County,62.3,Moderate,98.49777104128658,1921701.091604256,968122.2522163996,28.922116242313166,44.83,9.77,78.99,22.92,66444.0
07712,Monmouth County,62.2,Moderate,104.47847440186891,714446.8298928383,349399.5306756398,12.750465438096091,35.13,15.53,46.52,29.38,56033.0
07046,Morris County,62.2,Moderate,119.50239512728528,1161484.130204709,529144.1715390788,5.467711721751146,86.83,2.1,92.74,4.04,212426.0
07026,Bergen County,62.2,Moderate,162.90673326336798,569716.6328730101,216699.141098944,11.694891365554964,18.72,13.96,37.23,32.75,48715.0
07005,Morris County,62.0,Moderate,127.19945042104035,697395.2595166255,306952.88136667147,5.516887450590736,55.59,5.18,70.95,29.48,126411.0
07095,Middlesex County,62.0,Moderate,228.9166087906842,482136.032005389,146583.06060555627,5.73220820360705,40.52,6.36,56.79,20.67,84110.0
07105,Essex County,61.8,Moderate,257.4635496831128,565139.5973759601,158097.12567251953,11.565798198554328,13.1,19.47,19.23,26.74,48863.0
07060,Union County,61.7,Moderate,328.9902632577855,517035.1258835287,120523.7438157975,8.793712597515626,20.69,17.25,39.93,27.94,58796.0
07304,Hudson County,61.6,Moderate,125.35270955729463,534641.6699063618,237246.61263521764,11.083412867580783,30.51,21.69,27.19,25.28,48238.0
07306,Hudson County,61.4,Moderate,113.52954313552692,545670.0362929493,255547.79365898485,7.313631367014467,49.96,17.3,23.43,22.16,74610.0
07650,Bergen County,61.3,Moderate,86.4360084064988,958575.0193983596,514157.66063190694,14.811567406260385,41.94,9.98,31.56,25.78,64718.0
07093,Hudson County,61.3,Moderate,217.93769958002156,437666.20628099306,137657.85147817523,7.615162011396535,31.24,18.95,23.03,21.96,57473.0
07111,Essex County,61.2,Moderate,289.21891124088444,417030.5906896198,107145.51082835824,10.495560242855484,15.14,23.05,28.66,26.36,39734.0
07732,Monmouth County,61.1,Moderate,118.94870732511696,555546.2718478177,253733.52445643215,6.51529614682903,48.03,5.62,68.74,18.88,85268.0
07045,Morris County,61.1,Moderate,140.8978736124399,795637.7957215635,330280.12401703367,5.316337779362174,63.36,2.63,96.64,22.95,149659.0
07643,Bergen County,60.9,Moderate,101.33982735640782,580958.8914691854,288546.43370721844,8.392449027348684,35.43,7.42,38.99,20.8,69224.0
07036,Union County,60.9,Moderate,224.06669097293062,530942.1201319465,163837.30106229777,8.762433286550369,16.18,8.42,57.19,20.85,60593.0
07432,Bergen County,60.8,Moderate,61.50898910133743,715547.7029899731,443038.9336044998,8.793429061113306,50.65,2.44,67.05,42.45,81373.0
08212,Cape May County,60.7,Moderate,95.75057488595803,1907861.7675000816,974639.1644630312,35.91269209411918,63.14,12.5,90.15,7.69,53125.0
07032,Hudson County,60.7,Moderate,184.00528830788437,571415.8862010944,201199.0303439822,9.248905606828759,19.95,10.25,46.13,23.23,61782.0
07004,Essex County,60.6,Moderate,137.4779918844663,787159.9257554328,331466.47380208113,6.920087259388421,51.48,10.04,79.32,29.95,113750.0
08511,Burlington County,60.5,Moderate,137.66711128377415,562515.9877063481,236682.3009998657,7.392382943548086,27.97,4.11,65.05,0.87,76094.0
07208,Union County,60.4,Moderate,145.43755785874927,565030.6023529294,230213.58559887065,12.307621650502721,20.92,16.51,33.26,27.07,45909.0
07524,Passaic County,60.4,Moderate,183.20270111082093,520796.0544763498,183895.15793232335,13.424654701148368,12.92,26.95,25.57,30.59,38794.0
07724,Monmouth County,60.3,Moderate,94.56897871618692,659183.9850720571,338791.92326624325,8.253417953023202,41.47,7.18,64.86,26.36,79868.0
07501,Passaic County,60.3,Moderate,160.46904810728657,468502.19349408994,179868.66266778656,18.460230643212498,7.34,37.42,14.87,40.26,25379.0
07202,Union County,60.1,Moderate,184.3510876648929,497947.3029780102,175117.07342749464,11.430509904689995,12.48,17.05,24.55,27.23,43563.0
07065,Union County,60.0,Below Average,217.76729292905387,521802.3225078164,164208.9460177125,6.742241837218049,30.31,7.38,57.54,18.48,77393.0
07753,Monmouth County,59.8,Below Average,115.78585884538066,559427.6829431118,259251.31792068193,9.155336523682767,29.01,12.91,62.79,36.72,61104.0
07201,Union County,59.8,Below Average,172.86842026663115,494505.1597659011,181224.76733756857,10.05030505794161,15.74,17.66,22.81,27.57,49203.0
08203,Atlantic County,59.6,Below Average,87.12057451021205,1117516.717076175,597217.4465588693,12.239113288972094,43.53,10.28,71.93,34.79,91307.0
07423,Bergen County,59.5,Below Average,64.86015417379669,1238482.8951630893,751232.4014069963,7.626783683095152,76.41,0.22,91.1,29.37,162386.0
07722,Monmouth County,59.5,Below Average,75.82936179497813,1250416.124790183,711153.1953623324,9.181813757784932,56.61,4.0,92.28,34.68,136184.0
07001,Middlesex County,59.4,Below Average,206.67923025945933,519846.40958717297,169508.1891093075,7.442431668129436,25.12,8.91,50.4,20.63,69849.0
08755,Ocean County,59.3,Below Average,107.64619951941508,884647.5199073927,426035.97944718343,11.585980222741048,28.67,8.11,80.41,34.36,76355.0
07206,Union County,59.3,Below Average,214.90708303585896,503797.8607359235,159983.01971459793,9.712702154153142,7.23,19.01,27.29,31.12,51870.0
07062,Union County,59.3,Below Average,437.62287045549994,493221.42218581453,91741.15337912124,7.3864291818045125,24.39,15.92,62.55,32.74,66774.0
07008,Middlesex County,59.1,Below Average,220.89801833521068,540361.6277765862,168390.45332219018,8.056921747727474,22.98,15.05,56.1,25.47,67068.0
07627,Bergen County,59.0,Below Average,71.22750877197691,1413742.1254652515,825651.2844252888,9.416221804229757,63.88,1.76,92.27,0.0,150139.0
07514,Passaic County,58.8,Below Average,167.75326648811244,529827.6616846276,197879.065541914,12.103153821377642,9.7,23.64,27.94,29.87,43776.0
08724,Ocean County,58.8,Below Average,101.89298442106897,693716.7546034384,343606.1716521162,9.129293501650766,30.98,5.34,86.34,31.68,75988.0
08204,Cape May County,58.7,Below Average,99.61549941918342,1355598.0751685242,679104.6181848986,20.14111990444282,31.09,8.29,78.57,21.93,67305.0
