geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
3430420,"Hasbrouck Heights borough, New Jersey",place,34,30420,,2023,12067,44.2,8132,407,1414,3321,4360,2.76,118670.0,49744.0,1135,12042,0.4082,4544,4360,184,3065,1295,508500.0,1605.0,160,90,92,484,1295,36.4,8582,2021,249,739,2151,1072,347,55,7073,6608,465,9919,6423,4194,525,809,751,177915.0,5672,9.43,6.57,42.24,70.3,4.05,63.78,37.37,31.4,12.6,11.69,0.4552
3430540,"Haworth borough, New Jersey",place,34,30540,,2023,3321,44.8,2210,81,454,263,1053,3.15,227841.0,84397.0,124,3321,0.3649,1186,1053,133,1001,52,815300.0,,3,0,6,6,52,27.5,2122,264,38,105,739,501,153,84,1644,1598,46,2437,1587,999,53,92,425,40550.0,1162,3.73,2.8,69.6,95.06,11.21,28.85,11.54,34.9,5.8,26.78,0.5316
3430570,"Hawthorne borough, New Jersey",place,34,30570,,2023,19472,42.3,14285,654,248,4658,7613,2.55,118093.0,55899.0,986,19377,0.3865,8033,7613,420,5190,2423,499200.0,1828.0,220,222,98,322,2423,24.5,14724,3409,1208,1103,4156,2092,305,117,11875,11287,588,16254,10923,8884,546,265,1029,245490.0,9894,5.09,4.95,45.3,68.17,5.23,35.58,13.29,24.8,2.43,9.42,0.4033
3430738,"Heathcote CDP, New Jersey",place,34,30738,,2023,6689,44.0,1909,455,3588,424,2692,2.46,127391.0,68400.0,263,6630,0.4321,2692,2692,0,2088,604,563500.0,1468.0,185,27,24,142,604,32.4,4899,336,52,177,2055,1282,98,215,3172,3099,73,5471,3084,1592,197,165,1058,69250.0,2026,3.97,2.3,74.51,77.56,0.0,62.58,23.51,34.2,5.35,34.31,0.6222
3430810,"Heislerville CDP, New Jersey",place,34,30810,,2023,197,30.2,197,0,0,36,85,2.32,86298.0,34815.0,0,197,0.1286,85,85,0,45,40,262500.0,,0,0,0,0,40,,130,93,0,0,34,0,0,0,103,103,0,136,103,103,0,0,0,,103,0.0,0.0,26.15,52.94,0.0,0.0,0.0,,0.0,0.0,-0.0334
3430840,"Helmetta borough, New Jersey",place,34,30840,,2023,2317,39.5,1762,132,234,261,984,2.35,104143.0,53305.0,67,2317,0.3558,1008,984,24,648,336,321400.0,2081.0,5,0,6,93,336,26.3,1749,397,118,90,510,189,39,27,1452,1353,99,1938,1300,1073,59,17,136,37565.0,1164,2.89,6.82,43.74,65.85,2.38,30.95,27.68,32.3,1.31,10.46,0.3956
3431110,"Hewitt CDP, New Jersey",place,34,31110,,2023,2797,53.3,2474,18,44,187,1079,2.58,182516.0,78257.0,43,2797,0.3557,1160,1079,81,1030,49,436700.0,2236.0,16,0,15,18,49,45.7,2147,920,105,111,554,103,55,27,1571,1107,464,2172,1063,632,34,2,388,31655.0,675,1.54,29.54,34.42,95.46,6.98,100.0,36.73,46.9,0.19,36.5,0.2129
3431170,"Hibernia CDP, New Jersey",place,34,31170,,2023,136,53.1,113,0,15,0,59,2.31,116971.0,51903.0,0,136,0.1128,59,59,0,44,15,450000.0,,0,0,0,0,15,,113,52,0,0,41,17,0,0,122,122,0,131,113,113,0,0,0,2320.0,113,0.0,0.0,51.33,74.58,0.0,0.0,0.0,20.5,0.0,0.0,0.2975
3431320,"High Bridge borough, New Jersey",place,34,31320,,2023,3584,38.4,2731,132,361,453,1475,2.43,116424.0,54651.0,136,3584,0.355,1485,1475,10,1167,308,298600.0,1747.0,14,25,18,97,308,30.0,2511,622,78,230,782,375,10,59,2148,2023,125,3013,1994,1524,68,48,354,58545.0,1640,3.79,5.82,48.83,79.12,0.67,50.0,31.49,35.7,2.41,17.75,0.3919
3431410,"Highland Lakes CDP, New Jersey",place,34,31410,,2023,3941,49.3,3644,4,12,289,1668,2.36,129500.0,69912.0,118,3941,0.412,1991,1668,323,1544,124,291200.0,1862.0,10,0,0,53,124,33.3,3068,640,261,230,1098,325,104,30,2598,2437,161,3483,2349,1522,192,49,566,78785.0,1783,2.99,6.2,50.75,92.57,16.22,50.81,42.74,44.2,2.09,24.1,0.1397
3431470,"Highland Park borough, New Jersey",place,34,31470,,2023,14981,34.6,8884,824,3037,2242,6518,2.29,101991.0,56392.0,1381,14930,0.4202,6858,6518,340,2533,3985,463600.0,1881.0,460,232,194,487,3985,25.9,10791,991,205,541,3449,2390,529,1208,9069,8645,424,12471,8448,4891,512,506,2043,176405.0,6405,9.25,4.68,70.21,38.86,4.96,34.45,12.22,27.5,5.99,24.18,0.5818
