geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
07933,ZCTA5 07933,zcta,,,07933,2023,2920,42.7,2617,0,51,544,1163,2.5,162538.0,84372.0,255,2841,0.4442,1163,1163,0,1080,83,638000.0,,0,0,0,65,83,,2348,210,70,156,1113,425,64,26,1678,1638,40,2495,1576,971,60,18,527,24790.0,1049,8.98,2.38,69.34,92.86,0.0,78.31,78.31,23.6,1.14,33.44,0.1618
07934,ZCTA5 07934,zcta,,,07934,2023,1406,55.1,1228,31,76,57,603,2.33,228438.0,137441.0,45,1406,0.528,603,603,0,515,88,816400.0,2146.0,0,7,0,53,88,51.0,1103,82,23,68,395,283,89,62,771,752,19,1190,752,459,64,24,153,16765.0,599,3.2,2.46,75.16,85.41,0.0,68.18,60.23,28.0,3.19,20.35,0.2321
07935,ZCTA5 07935,zcta,,,07935,2023,597,56.3,542,0,22,26,241,2.48,104519.0,59864.0,17,597,0.4162,241,241,0,201,40,690300.0,2870.0,0,0,0,27,40,51.0,468,55,92,27,159,94,12,22,306,285,21,486,285,205,26,0,37,7325.0,248,2.85,6.86,61.32,83.4,0.0,67.5,67.5,29.5,0.0,12.98,0.1725
07936,ZCTA5 07936,zcta,,,07936,2023,11106,46.9,8137,380,1421,1253,4045,2.74,144792.0,68909.0,239,11105,0.3975,4162,4045,117,3820,225,668500.0,2745.0,9,0,0,11,225,17.5,8374,2075,336,425,2413,1627,305,274,6164,5905,259,9313,5659,4489,185,184,789,120780.0,4870,2.15,4.2,55.16,94.44,2.81,8.89,4.89,24.8,3.25,13.94,0.4329
07939,ZCTA5 07939,zcta,,,07939,2023,380,71.0,236,144,0,10,31,,,21348.0,52,126,,31,31,0,0,31,,,0,0,0,0,31,,367,138,46,28,52,15,12,0,0,0,0,380,0,0,0,0,0,,0,41.27,,21.53,0.0,0.0,0.0,0.0,,,,0.47
07940,ZCTA5 07940,zcta,,,07940,2023,17675,35.2,13644,439,1005,2543,5566,2.68,168520.0,80878.0,420,14903,0.4953,5733,5566,167,3575,1991,883200.0,2248.0,150,142,224,393,1991,28.4,10467,1455,395,407,4180,2249,524,448,9668,9013,655,14286,8788,4584,332,679,2174,173775.0,6614,2.82,6.77,70.71,64.23,2.91,45.66,19.74,26.3,7.73,24.74,0.3796
07945,ZCTA5 07945,zcta,,,07945,2023,9771,46.3,8099,17,538,565,3487,2.74,243665.0,114131.0,182,9649,0.4257,3651,3487,164,3198,289,894200.0,3432.0,16,19,52,8,289,26.8,6785,523,173,242,2732,1749,649,155,5254,5128,126,7852,4990,3007,55,201,1418,136855.0,3572,1.89,2.4,77.89,91.71,4.49,32.87,2.77,38.3,4.03,28.42,0.3066
07946,ZCTA5 07946,zcta,,,07946,2023,3098,44.6,2573,0,192,215,1015,3.05,213393.0,81226.0,97,3098,0.3613,1051,1015,36,956,59,754600.0,3501.0,0,0,11,0,59,22.1,2242,422,82,132,782,446,91,56,1714,1531,183,2578,1531,1023,119,50,296,38445.0,1235,3.13,10.68,61.33,94.19,3.43,18.64,0.0,31.1,3.27,19.33,0.3016
07950,ZCTA5 07950,zcta,,,07950,2023,21576,45.1,13551,522,4868,1975,8304,2.5,148469.0,71205.0,601,21084,0.4037,8460,8304,156,6273,2031,571300.0,2549.0,254,74,232,181,2031,26.1,16182,2113,684,969,5458,3707,680,701,12582,11895,677,18081,11787,7587,433,505,3019,264280.0,8768,2.85,5.38,65.17,75.54,1.84,36.48,8.91,30.1,4.28,25.61,0.5457
07960,ZCTA5 07960,zcta,,,07960,2023,46178,39.5,32762,2791,2150,8018,18335,2.44,149462.0,87111.0,3005,45215,0.4909,18978,18335,643,11346,6989,701100.0,2173.0,524,410,557,1217,6989,27.0,33122,4379,850,1294,12538,6751,2233,872,26512,25174,1338,38584,24518,15292,1662,961,5255,520785.0,19263,6.65,5.05,67.61,61.88,3.39,38.75,17.41,27.0,3.92,21.43,0.4607
