block_group_id,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tree_equity_score,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
340155024002,Logan Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 1,2087,2565.0,3.3903,Forest,Google,0.5,0.2478,0.2522,0.334413872361399,0.225341130604289,0.225341130604289,0.343859649122807,0.343859649122807,0.074760383386581,0.177001856318428,0.592178770949721,0.371929824561403,0.29608938547486,0.01375608119443,0.045067031437504,0.195131477476243,5.34,0.540728476821192,82,88.0,,0.170760233918129,0.201169590643275,,6.0,6,,,,,,,,,
340155024003,Logan Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 1,2747,2806.0,2.4273,Forest,Google,0.5,0.3121,0.1879,0.26185281562133,0.148253741981468,0.148253741981468,0.034879539733909,0.034879539733909,0.024676125848242,0.058422922462833,0.625724217844728,0.384889522451889,0.312862108922364,0.01375608119443,0.045067031437504,0.195131477476243,3.03,0.464238410596026,89,88.0,,0.25944404846757,0.125445473984319,,3.0,6,,,,,,,,,
340155024004,Logan Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 1,5,0.0,3.3338,Forest,Google,0.5,0.2226,0.2774,0.198191085488532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01375608119443,0.045067031437504,0.195131477476243,4.82,0.523509933774834,88,88.0,,0.0,0.0,,4.0,6,,,,,,,,,
340155024005,Logan Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 1,29,0.0,2.7804,Forest,Google,0.4,0.1953,0.2047,0.22335191803347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01375608119443,0.045067031437504,0.195131477476243,10.73,0.719205298013245,90,88.0,,0.0,0.0,,2.0,6,,,,,,,,,
340155024006,Logan Township,New Jersey,NJ,Gloucester County,"Philadelphia, PA--NJ--DE--MD",1164710,NJ Congressional District 1,398,690.0,0.8479,Forest,Google,0.5,0.2689,0.2311,0.269695637769028,0.097101449275362,0.097101449275362,0.056521739130435,0.056521739130435,0.06426735218509,0.152158671774185,0.455696202531646,0.31304347826087,0.227848101265823,0.01375608119443,0.045067031437504,0.195131477476243,5.5,0.546026490066225,87,88.0,,0.147826086956522,0.165217391304348,,5.0,6,,,,,,,,,
340170001011,Jersey City,New Jersey,NJ,Hudson County,"New York--Jersey City--Newark, NY--NJ",6517519,NJ Congressional District 8,2554,2696.0,0.2735,Forest,Google,0.4,0.175,0.225,0.387037882639136,0.858308605341246,0.858308605341246,0.296815769522365,0.296815769522365,0.017469879518072,0.017469879518072,0.258636788048553,0.205489614243323,0.129318394024276,0.02990577632118,0.059366673325185,0.25133896801654,8.39,0.619898575223376,82,87.0,D,0.142062314540059,0.063427299703264,Yes,147.0,194,0.0041,0.2107,0.2148,0.0627,0.2311,0.2938,0.2719,0.2808,0.5522
340170001021,Jersey City,New Jersey,NJ,Hudson County,"New York--Jersey City--Newark, NY--NJ",6517519,NJ Congressional District 8,1794,1700.0,0.1304,Forest,Google,0.2,0.1079,0.0921,0.44647204637562,0.889411764705882,0.889411764705882,0.281176470588235,0.281176470588235,0.01,0.01,0.537070524412297,0.349411764705882,0.268535262206148,0.160269557573982,0.318154939911326,0.25133896801654,10.72,0.676165177493359,91,87.0,D,0.212941176470588,0.136470588235294,Yes,86.0,194,0.0069,0.1842,0.1912,0.104,0.2087,0.3127,0.4194,0.2234,0.6403
340170001022,Jersey City,New Jersey,NJ,Hudson County,"New York--Jersey City--Newark, NY--NJ",6517519,NJ Congressional District 8,2040,1873.0,0.1124,Forest,Google,0.2,0.1103,0.0897,0.437688970897262,0.751735184196476,0.751735184196476,0.334223171382808,0.334223171382808,0.13641488162345,0.13641488162345,0.304317548746518,0.233315536572344,0.152158774373259,0.160269557573982,0.318154939911326,0.25133896801654,10.98,0.682443854141512,92,87.0,D,0.106780565936999,0.126534970635344,Yes,72.0,194,0.0099,0.1631,0.1729,0.121,0.1872,0.3081,0.3863,0.2031,0.5895
340170002001,Jersey City,New Jersey,NJ,Hudson County,"New York--Jersey City--Newark, NY--NJ",6517519,NJ Congressional District 8,2131,2262.0,0.1012,Forest,Google,0.2,0.0882,0.1118,0.5092372358869,0.895667550839965,0.895667550839965,0.593722369584439,0.593722369584439,0.0,0.0,0.590717299578059,0.371352785145889,0.295358649789029,0.185048754062838,0.367344716742924,0.302536500978275,12.88,0.728326491185704,88,87.0,D,0.25419982316534,0.117152961980548,Yes,113.0,194,0.015,0.1436,0.1586,0.147,0.1594,0.3064,0.4828,0.1552,0.638
340170002002,Jersey City,New Jersey,NJ,Hudson County,"New York--Jersey City--Newark, NY--NJ",6517519,NJ Congressional District 8,2004,1439.0,0.1075,Forest,Google,0.2,0.0848,0.1152,0.485653823722139,0.820013898540653,0.820013898540653,0.47810979847116,0.47810979847116,0.102890173410405,0.102890173410405,0.463886063072228,0.316886726893676,0.231943031536114,0.185048754062838,0.367344716742924,0.302536500978275,11.57,0.69669162038155,88,87.0,C,0.219596942321056,0.09728978457262,Yes,113.0,194,0.0115,0.1726,0.1841,0.1271,0.1913,0.3184,0.3967,0.2187,0.6151
